Teller,TijdISO,SecondenSindsMiddernacht,Pin
90440,2019-12-31T09:18:57.395274,33537.395274,17
90441,2019-12-31T09:18:58.035563,33538.035563,17
90442,2019-12-31T09:19:09.095217,33549.095217,17
90443,2019-12-31T09:19:09.587484,33549.587484,17
90444,2019-12-31T09:19:15.895592,33555.895592,17
90445,2019-12-31T09:19:16.610871,33556.610871,17
90446,2019-12-31T09:19:21.066302,33561.066302,17
90447,2019-12-31T09:19:21.848270,33561.84827,17
90448,2019-12-31T09:19:26.297230,33566.29723,17
90449,2019-12-31T09:20:43.878620,33643.87862,17
90450,2019-12-31T09:21:54.727135,33714.727135,17
90451,2019-12-31T09:22:46.369204,33766.369204,17
90452,2019-12-31T09:29:32.646099,34172.646099,17
90453,2019-12-31T09:29:33.324629,34173.324629,17
90454,2019-12-31T09:29:37.651433,34177.651433,17
90455,2019-12-31T09:29:38.338938,34178.338938,17
90456,2019-12-31T09:29:42.654626,34182.654626,17
90457,2019-12-31T09:29:43.292131,34183.292131,17
90458,2019-12-31T09:29:47.602725,34187.602725,17
90459,2019-12-31T09:29:48.274152,34188.274152,17
90460,2019-12-31T09:29:52.603741,34192.603741,17
90461,2019-12-31T09:29:53.282830,34193.28283,17
90462,2019-12-31T09:29:57.574441,34197.574441,17
90463,2019-12-31T09:29:58.220431,34198.220431,17
90464,2019-12-31T09:30:02.504854,34202.504854,17
90465,2019-12-31T09:30:03.146758,34203.146758,17
90466,2019-12-31T09:30:07.405250,34207.40525,17
90467,2019-12-31T09:30:08.071277,34208.071277,17
90468,2019-12-31T09:31:31.637646,34291.637646,17
90469,2019-12-31T09:32:14.424592,34334.424592,17
90470,2019-12-31T09:32:50.790294,34370.790294,17
90471,2019-12-31T09:32:51.693903,34371.693903,17
90472,2019-12-31T09:39:40.026863,34780.026863,17
90473,2019-12-31T09:39:40.871274,34780.871274,17
90474,2019-12-31T09:44:18.818037,35058.818037,17
90475,2019-12-31T09:44:19.317964,35059.317964,17
90476,2019-12-31T09:50:15.485818,35415.485818,17
90477,2019-12-31T09:50:15.990050,35415.99005,17
90478,2019-12-31T09:50:22.775758,35422.775758,17
90479,2019-12-31T09:53:55.304123,35635.304123,17
90480,2019-12-31T09:53:59.250716,35639.250716,17
90481,2019-12-31T09:54:00.536583,35640.536583,17
90482,2019-12-31T09:54:04.894356,35644.894356,17
90483,2019-12-31T09:54:05.584674,35645.584674,17
90484,2019-12-31T09:54:09.998852,35649.998852,17
90485,2019-12-31T09:54:10.661469,35650.661469,17
90486,2019-12-31T09:54:14.993444,35654.993444,17
90487,2019-12-31T09:54:15.685119,35655.685119,17
90488,2019-12-31T09:54:20.013542,35660.013542,17
90489,2019-12-31T09:54:20.686850,35660.68685,17
90490,2019-12-31T09:54:42.361864,35682.361864,17
90491,2019-12-31T09:54:42.990760,35682.99076,17
90492,2019-12-31T10:01:58.394536,36118.394536,17
90493,2019-12-31T10:01:59.137887,36119.137887,17
